Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11085739,2020-02-13 23:26:14,2020-02-13 22:17:24,4796377,870609500,4796377,181,404,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/010825/SRR11085739,SRX7724690,131656,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146476,SAMN14086232,simple,2664183,unclassified Merbecovirus,131656,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,ED5E9F23E18B2B7303BF812CF3E50ECA,2AD523D00D2AD6AC48D19E9F3E7FC574
SRR11085736,2020-02-13 23:26:14,2020-02-13 22:23:33,11924182,3458628776,11924182,290,1607,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/010825/SRR11085736,SRX7724693,160660,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146479,SAMN14086235,simple,2691594,unclassified Rhinacovirus,160660,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,1A3FA4C4976FB76840F8106343A54928,E4317A7AB9295FFE45C097ED726915C6
SRR11085735,2020-02-13 23:26:14,2020-02-13 22:16:45,4016562,987497346,4016562,245,468,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/010825/SRR11085735,SRX7724694,160942,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146480,SAMN14086236,simple,2691596,unclassified Decacovirus,160942,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,690E79AC889C56C59B2AE27D2BED5334,77B0F1DE4406085F9D53D1667780408E
SRR11085734,2020-02-13 23:26:14,2020-02-13 22:20:16,9635986,2752732821,9635986,285,1305,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/010825/SRR11085734,SRX7724695,161454,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146481,SAMN14086237,simple,2691586,unclassified Minunacovirus,161454,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,5225A0C50940A198BFEAA14C252689D1,CD05022E91EF0B7852BA3CCABBB8A4FF
SRR11085741,2020-02-13 23:26:14,2020-02-13 22:21:27,12453192,3480540019,12453192,279,1655,,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/010825/SRR11085741,SRX7724688,5425,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146474,SAMN14086230,simple,2691584,unclassified Duvinacovirus,5425,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,0DF4EF0A9F8A6B417A67DD279E75FB12,364309685D88D1789E99B33C4E4C9DD4
SRR11085740,2020-02-13 23:26:14,2020-02-13 22:35:21,9833862,2755667968,9833862,280,1293,,https://sra-download.ncbi.nlm.nih.gov/traces/sra52/SRR/010825/SRR11085740,SRX7724689,6610,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146475,SAMN14086231,simple,2691586,unclassified Minunacovirus,6610,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,7F09C4C256BFF6342B3F83934734B142,6C80BD51835808D6441E7B0F9349B34E
SRR11085738,2020-02-13 23:26:14,2020-02-13 22:21:40,14762465,4198475966,14762465,284,2022,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/010825/SRR11085738,SRX7724691,BY140568,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146477,SAMN14086233,simple,2664183,unclassified Merbecovirus,BY140568,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,18C5C7449797F78230F056B97E2C979C,DE0265B7567ED263E6BA1C4E04DCC9F6
SRR11085733,2020-02-13 23:26:14,2020-02-13 22:24:31,13547864,3868905116,13547864,285,1863,,https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/010825/SRR11085733,SRX7724696,CHB0025,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146482,SAMN14086238,simple,2691596,unclassified Decacovirus,CHB0025,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,B14FE7AE7D8AEB15A9A3EAF304459993,E0F659DF21E258A942B413C1F5359D74
SRR11085737,2020-02-13 23:26:14,2020-02-13 22:41:27,11545986,3087725372,11545986,267,1450,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/010825/SRR11085737,SRX7724692,HK140714,RNA-Seq,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP249478,PRJNA606159,3,606159,SRS6146478,SAMN14086234,simple,2691591,unclassified Pedacovirus,HK140714,,,,,,,no,,,,,"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",SRA1042701,,public,9F738A777F356D1FEB8BB93619C940A4,AF415A72C639324B0F9DB2EA8FFACCD4

