Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11278092,2020-03-09 18:23:31,2020-03-09 18:22:04,101360,7592719,0,74,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/011013/SRR11278092,SRX7884333,WA11-UW7,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294171,SAMN14341561,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA11-UW7,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053095,,public,4AADB48939A54A43EA30153A737F2AC9,D7BB4A64EB1DFB3C47F166CD6953A579
SRR11278091,2020-03-09 18:23:31,2020-03-09 18:21:57,597251,44717558,0,74,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/011013/SRR11278091,SRX7884334,WA12-UW8,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294172,SAMN14341562,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA12-UW8,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053095,,public,E399793830CA56C23613B1BA90D69123,7EEC848FA55117B0003FF6EE9217D590
SRR11278090,2020-03-09 18:23:31,2020-03-09 18:21:47,24424,1830456,0,74,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/011013/SRR11278090,SRX7884335,WA13-UW9,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294173,SAMN14341563,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA13-UW9,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053095,,public,B04D930DD0612358FDAB19A1375248D4,F85DEBD21F158A1636CE63A085981E3A
SRR11278168,2020-03-09 18:59:44,2020-03-09 18:56:34,44159,2913504,0,65,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/011013/SRR11278168,SRX7884407,WA14-UW10,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294246,SAMN14341636,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA14-UW10,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053129,,public,47C4B76C984DD8160322FB73A1FFF765,CF3C90444754D14E3358C49DA56BEFC8
SRR11278167,2020-03-09 19:00:12,2020-03-09 18:59:22,10124079,759300927,0,74,97,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/011013/SRR11278167,SRX7884408,WA15-UW11,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294247,SAMN14341637,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA15-UW11,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053129,,public,7122E2054E5963278DE2521DE343B559,7DE00A55B4CD3364DA32FDEFE3182E9E
SRR11278166,2020-03-09 19:00:13,2020-03-09 18:58:52,8213820,615986088,0,74,74,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/011013/SRR11278166,SRX7884409,WA16-UW12,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294248,SAMN14341638,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA16-UW12,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053129,,public,2D3767D11864F6E0B0B47CAD8C2D29BA,48DCE6AAB3B02325F12A22492FBDAD17
SRR11278165,2020-03-09 18:59:44,2020-03-09 18:56:37,122658,9173640,0,74,1,,https://sra-download.ncbi.nlm.nih.gov/traces/sra58/SRR/011013/SRR11278165,SRX7884410,WA17-UW13,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294249,SAMN14341639,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA17-UW13,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053129,,public,6ED94C7519357D85C456D1A3A68A3F99,9733A3284B5130F430688F1C4A3F0D0C
SRR11278164,2020-03-09 18:59:44,2020-03-09 18:57:34,3801124,284858490,0,74,34,,https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/011013/SRR11278164,SRX7884411,WA18-UW14,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP251618,PRJNA610428,,610428,SRS6294250,SAMN14341640,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA18-UW14,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1053129,,public,9673BBF72D31C10288B4E9B331D853F8,30C05DA1358089BD96C2DCB2972F8D73
SRR11241254,2020-03-04 22:12:12,2020-03-04 22:11:22,131952,22249638,0,168,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/010977/SRR11241254,SRX7852918,WA3_UW1,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP251618,PRJNA610428,,610428,SRS6262461,SAMN14297849,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA3_UW1,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1051177,,public,135A616F6906D186DDB3013C611781AE,9C787D7E9A00550F94E7C9FF10B3A4D5
SRR11241255,2020-03-04 22:12:12,2020-03-04 22:11:17,123353,22252301,0,180,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/010977/SRR11241255,SRX7852917,WA4_UW2,RNA-Seq,unspecified,VIRAL RNA,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP251618,PRJNA610428,,610428,SRS6262460,SAMN14297848,simple,2697049,Severe acute respiratory syndrome coronavirus 2,WA4_UW2,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON,SRA1051177,,public,C0A6515E936A014B418F408EFEF5EB3F,F38D13DE64E6DDE662FD3ECCF91DA4BE
